MRI ID,Tag,Age,FOC per gr @ collection,Sex,Faeces weight (gr),Expected Oocysts,Extraction date flotation,Oocysts counted,Count method,Nanodrop (ng/ul) flotation,A260/A280 flotation,A260/A230 flotation,A260 flotation,A280 flotation,Extraction date faeces,Nanodrop (ng/ul) faeces,A260/A280 faeces,A260/A230 faeces,A260 faeces,A280 faeces
15,DO198,Lamb,6216,female,5.5,34188,17/01/2020,8600,10ul aliquot,4.858,1.834,0.296,0.097,0.053,16/10/2019,77.117,1.827,1.701,1.542,0.844
194,DO208,Lamb,5838,female,6.6,38530.8,31/01/2020,12000,10ul aliquot,2.368,1.698,0.359,0.047,0.028,16/10/2019,98.104,1.842,1.787,1.962,1.065
73,DO213,Lamb,5796,female,12.9,74768.4,29/01/2020,15400,10ul aliquot,3.106,3.336,0.279,0.062,0.019,16/10/2019,29.732,1.73,1.088,0.595,0.344
67,DO214,Lamb,6993,female,4.1,28671.3,29/01/2020,8700,10ul aliquot,3.254,4.37,0.223,0.065,0.015,16/10/2019,73.149,1.801,1.603,1.463,0.812
118,DO216,Lamb,5691,male,1,5691,16/12/2019,10000,haemocytometer,3.041,1.283,0.423,0.061,0.047,16/10/2019,42.041,1.792,1.682,0.841,0.469
82,DO230,Lamb,10458,female,3.4,35557.2,29/01/2020,11700,10ul aliquot,2.011,14.046,0.264,0.04,0.003,16/10/2019,61.842,1.808,1.62,1.237,0.684
95,DO244,Lamb,7728,female,2.2,17001.6,16/12/2019,30000,haemocytometer,2.522,2.49,0.25,0.05,0.02,16/10/2019,82.313,1.826,1.769,1.646,0.901
223,DO246,3,2541,male,12.9,32778.9,31/01/2020,7100,10ul aliquot,6.359,2.155,0.203,0.127,0.059,16/10/2019,55.107,1.813,1.885,1.477,0.815
184,DY150,1,1323,male,30.8,40748.4,31/01/2020,300,10ul aliquot,13.267,1.681,0.451,0.265,0.158,16/10/2019,70.506,1.84,1.715,1.41,0.766
89,DY178,1,987,female,13.5,13324.5,29/01/2020,3700,10ul aliquot,7.503,2.003,0.373,0.15,0.075,16/10/2019,103.273,1.844,2.029,2.065,1.12
214,DY221,1,651,female,11.6,7551.6,31/01/2020,900,10ul aliquot,4.982,1.563,0.445,0.1,0.064,16/10/2019,60.267,1.822,1.709,1.205,0.662
63,DY225,1,1022,male,NA,NA,29/01/2020,1500,10ul aliquot,11.658,2.141,0.296,0.233,0.109,16/10/2019,94.902,1.841,1.83,1.898,1.031
157,DY277,1,1365,,9.8,13377,31/01/2020,5200,10ul aliquot,7.141,1.89,0.422,0.143,0.076,16/10/2019,32.574,1.748,1.279,0.651,0.373
